url,title,corpname,location,content
https://kr.indeed.com/rc/clk?jk=51dcabafcf7a0bb0&fccid=b8ffa8936fc04868&vjs=3,저축은행 디지털뱅킹팀 데이터분석,국내자본 저축은행,서울 구로구,"정규 대졸 이상 - 데이터분석 경력 3년 이상 - 실제 서비스 데이터를 이용한 분석모델 개발 경험 - R, Python, SQL 등 데이터 분석의 업무를 수행할 수 있는 하나 이상의 개발 언어에 숙달 <우대사항> - 해당..."
https://kr.indeed.com/rc/clk?jk=8af16ddc1e1a33b3&fccid=64dbf893209da138&vjs=3,DevOps 엔지니어(과장~차장급),TV홈쇼핑,성남 판교역,"AWS 경험 2년 이상) - 퍼블릭 클라우드 구축 경험 - 다음 중 하나의 언어를 이용한 업무 자동화 기능 : Python, Node.js, Go - 클라우드 기반 시스템 구축 & 운영 자동화 경험 (Ansible, Chef..."
https://kr.indeed.com/rc/clk?jk=074bbbc1b7c4d596&fccid=b8ffa8936fc04868&vjs=3,저축은행 디지털마케팅본부 데이터분석 경력자,국내자본 저축은행,서울 구로구,"고객 분석, 마케팅 분석 - 마케팅 기획 및 실행조직과 협업 경험, 마케팅 데이터 모델링 개발능력 - R, Python, Tableau, SAS, Orange, SQL 등 데이터 분석의 업무를 수행 할 수 있는 개발 언어에..."
https://kr.indeed.com/company/HR-Korea/jobs/%EB%A7%88%EC%BC%80%ED%8C%85-%EA%B4%80%EB%A0%A8-%EB%8D%B0%EC%9D%B4%ED%84%B0-%EB%B6%84%EC%84%9D-%EC%A0%84%EB%AC%B8%EA%B0%80-1a29584d7cf07e69?fccid=de67c82a6296bc29&vjs=3,마케팅 관련 데이터 분석 전문가(대리과장급),국내 대기업 계열사,서울,"관련경력 5년~12년 - 데이터 분석 및 모델링 경력자 - 데이터 분석 툴 활용 가능자(SQL,SAS,R, Python 등) - 통계지식 및 데이터 추출 가능자 - 데이터 분석 자격증 소지자 우대 - 상품 마케팅 및 채널기획..."
https://kr.indeed.com/rc/clk?jk=53ced11b1e0addce&fccid=b8ffa8936fc04868&vjs=3,저축은행 디지털뱅킹팀 데이터분석 경력,국내자본 저축은행,서울 구로구,"고객 분석, 마케팅 분석 - 마케팅 기획 및 실행조직과 협업 경험, 마케팅 데이터 모델링 개발능력 - R, Python, Tableau, SAS, Orange, SQL 등 데이터 분석의 업무를 수행 할 수 있는 개발 언어에..."
https://kr.indeed.com/rc/clk?jk=89d3bffd37a2487a&fccid=d29ddc820620b02e&vjs=3,빅데이터 플랫폼 운영 및 분석구현,Success Korea,서울,"데이터 분석, 또는 데이터 엔지니어링 경력 5년 이상 - JAVA, Python, SQL 중 두 개 이상의 개발 언어에 대한 높은 이해 [전형절차... 경력 5년 이상 - JAVA, Python, SQL 중 두 개 이상의 개발..."
https://kr.indeed.com/rc/clk?jk=b41f8c37de8fae06&fccid=d29ddc820620b02e&vjs=3,빅데이터 분석,Success Korea,서울 삼성동,"프로그래밍 언어 중 한 개 이상 사용 가능자(R/SPLUS, Python, JAVA, etc.) - 숙련된Excel/Tableau Skill 보유... 사용 가능자(R/SPLUS, Python, JAVA, etc.) - 숙련된..."
https://kr.indeed.com/rc/clk?cmp=%5B%ED%97%A4%EB%93%9C%ED%97%8C%ED%8C%85%5D-%EA%B5%AD%EB%82%B4%EC%9C%A0%EB%AA%85%EB%8C%80%EA%B8%B0%EC%97%85&ti=%EB%8C%80%EA%B8%B0%EC%97%85+%EB%94%A5%EB%9F%AC%EB%8B%9D&jk=85e39a73f14a3b07&fccid=6b77749dbefab4c1&vjs=3,"대기업 딥러닝 / 빅데이터 프로젝트 경력자 (석사학위이상, 근무지-전남)",대기업(유명그룹사),전라남도 광양,프로젝트 실무경력 3년 이상자 - 다수 프로젝트 수행경험 및 경력자 우대 - 분석방법론 설계 및 R/ Python 시스템 아키텍쳐 설계기술 보유자 [근무지] 전남 [지원방법 및 문의처] 지원방법 : MSWORD양식...
https://kr.indeed.com/rc/clk?jk=67e90e28e81d778d&fccid=d29ddc820620b02e&vjs=3,데이터분석,Success Korea,서울,고객분석/상품분석/추천/검색 관련 프로젝트 2개 이상의 경험 - R， Python， SQL 필수 [전형절차] 서류-면접 [제출서류] 국문이력서... 2개 이상의 경험 - R， Python， SQL 필수 [전형절차] 서류...
https://kr.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQo_FcFImbqTEPchmNt_MdR67dKQuDcK6BUyj8wMx_OEhTF0GS5aAO_SjW8SnmNy1qM8vYCB0Ei7U3k-UXFHBVu7twOiwbWnPz4ovWT2RqOT-z9g28TmUgUHLXNBCLQThEE9o8HbeAU2ycpUv5d74UiPRrSmBQvu8SOU56nTw9IPJWpHUWjfA-cRnEEiRZ05Mzp71qVI_0NdYmmrRwS5PAEFqaa5XCp7r58f7hVY_oGKXlGMclaHEa-O0RCy-qBuIXglt10E34QSfLua7KzPsO9JM6Yexwh24TVMIH_a83RMlBfSyiu3QtwH7HewILe293Z_GbnKMxa1iU_upF-zl76glCsJcilU9ruEUOUaTZJ_xhEZAdt7QpyFJZUP4nejrcXJAAMhzfgWALFvkofWwLYZIaYwP6tMcH5JwQIlraQtrKoaVAPeWdPqj4zNvas8aIzPknZXnhXg==&p=33&fvj=1&vjs=3,Frontend Developer (Javascript/React),Bepro Company,,참고 - React JS (Web) / Kotlin (Android) / Swift (iOS) - Python + Django - AWS lambda + API gateway - MySQL - Google Cloud...
